,Index,Country,TotalCase,NewCase,NewDeath,TotalDeath,TotalRecovered,ActiveCase,Critical,TotalTest
0,,World,"475,693,271","+1,536,840","+3,635","6,126,092","410,970,375","58,596,804","61,272",
1,1.0,USA,"81,497,093","+14,368",+483,"1,000,745 ","63,503,344","16,993,004","2,881","975,336,514"
5,5.0,UK,"20,515,998","+51,557",+194,"164,123  ","18,730,567","1,621,308",316,"499,017,558"
8,8.0,Turkey,"14,743,437","+17,161",+84,"97,521 ","14,385,264","260,652",975,"151,560,324"
13,139.0,Sudan,"61,853",,,"4,898 ",,,,"562,941"
14,175.0,South Sudan,"17,144",,,138 ,"13,507","3,499",1,"354,474"
7,7.0,Russia,"17,664,621","+26,826",+429,"365,802 ","16,417,422","881,397","2,300","273,400,000"
10,85.0,Libya,"501,296",+85,+7,"6,389 ","488,407","6,500",102,"2,466,659"
9,9.0,Italy,"14,070,450","+76,260",+153,"158,254 ","12,685,306","1,226,890",466,"197,086,357"
2,2.0,India,"43,012,749",,,"516,636 ","42,473,057","23,056","8,944","784,290,846"
6,6.0,Germany,"19,435,987","+301,404",+331,"128,196 ","15,121,100","4,186,691","2,494","104,701,826"
4,4.0,France,"24,487,676","+145,560",+101,"141,319 ","22,759,313","1,587,044","1,632","246,629,975"
12,87.0,Ethiopia,"469,523",+29,+2,"7,491 ","427,324","34,708",17,"4,615,990"
16,191.0,Eritrea,"9,723",,,103 ,"9,619",1,,"23,693"
11,86.0,Egypt,"495,373",,,"24,277 ","424,831","46,265",122,"3,693,367"
17,200.0,Chad,"7,286",,,190 ,"4,874","2,222",,"191,341"
15,181.0,CAR,"14,649",,,113 ,"6,859","7,677",2,"81,294"
3,3.0,Brazil,"29,683,686",,,"657,773 ","28,286,808","739,105","8,318","63,776,166"
